HPI rank,Country,ISO,,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Ecological Footprint (g ha),HPI,"Biocapacity for year 
(g ha)",GDP per capita ($)
62,Bolivia,BOL,2020BOL,1,11673.0,69.7,5.56,2.77,43.8,1.55,..
74,Bosnia and Herzegovina,BIH,2015BIH,7,3429.362,76.9,5.117177963,3.362356835,43.60700492,1.61,12671.00801
80,Bosnia and Herzegovina,BIH,2016BIH,7,3386.263,77,5.180865288,3.616624633,42.88989601,1.6,13236.45206
83,Bosnia and Herzegovina,BIH,2017BIH,7,3351.534,77.1,5.089902401,3.492220488,42.94081871,1.6,13797.79022
54,Bosnia and Herzegovina,BIH,2018BIH,7,3323.929,77.3,5.887401104,3.508819012,47.66868461,1.57,14432.68266
54,Bosnia and Herzegovina,BIH,2019BIH,7,3301.0,77.4,6.02,3.65,47.8,1.56,14922
50,Bosnia and Herzegovina,BIH,2020BIH,7,3280.8,76.0,5.52,3.27,45.6,1.55,..
128,Botswana,BWA,2015BWA,5,2120.716,67.3,3.761964798,2.495548601,33.07775983,1.61,16714.39782
132,Botswana,BWA,2016BWA,5,2159.925,68.2,3.498936653,2.675328146,31.3556357,1.6,17117.12222
142,Botswana,BWA,2017BWA,5,2205.076,68.8,3.504881144,2.741095417,31.49326747,1.6,17253.28063
141,Botswana,BWA,2018BWA,5,2254.067,69.3,3.4613657,2.706598731,31.51073757,1.57,17634.19462
142,Botswana,BWA,2019BWA,5,2303.7,69.6,3.47,2.66,31.9,1.56,17767
,Botswana,BWA,2020BWA,5,2351.6,69.8,,,,1.55,..
12,Brazil,BRA,2015BRA,1,204471.759,75,6.546896935,2.781374399,54.19507017,1.61,15059.23437
16,Brazil,BRA,2016BRA,1,206163.056,75.2,6.374817371,2.679956558,53.78350082,1.6,14446.41281
23,Brazil,BRA,2017BRA,1,207833.825,75.5,6.332929134,2.81001845,52.99111082,1.6,14519.84913
24,Brazil,BRA,2018BRA,1,209469.32,75.7,6.190921783,2.739750666,52.4416616,1.57,14596.24616
21,Brazil,BRA,2019BRA,1,211049.5,75.9,6.45,2.68,54.6,1.56,14652
27,Brazil,BRA,2020BRA,1,212559.4,74.0,6.11,2.59,51.3,1.55,..
93,Bulgaria,BGR,2015BGR,7,7199.739,74.6,4.865401268,3.40871584,40.43299082,1.61,19682.79943
95,Bulgaria,BGR,2016BGR,7,7151.948,74.7,4.837560654,3.440644829,40.14805243,1.6,20578.59751
95,Bulgaria,BGR,2017BGR,7,7102.452,74.8,5.096901894,3.63544597,40.935937,1.6,21455.56436
98,Bulgaria,BGR,2018BGR,7,7051.61,74.9,5.098813534,3.703585066,40.57941736,1.57,22279.36194
106,Bulgaria,BGR,2019BGR,7,7000.1,75.0,5.11,3.83,40.1,1.56,23266
64,Bulgaria,BGR,2020BGR,7,6948.4,73.5,5.60,3.41,43.7,1.55,..
102,Burkina Faso,BFA,2015BFA,5,18110.616,59.9,4.418930054,1.171624216,37.83133399,1.61,1925.331225
109,Burkina Faso,BFA,2016BFA,5,18646.35,60.4,4.205634594,1.138078772,36.99844683,1.6,1981.426838
102,Burkina Faso,BFA,2017BFA,5,19193.236,60.8,4.646891117,1.121392324,40.1603322,1.6,2044.381874
89,Burkina Faso,BFA,2018BFA,5,19751.466,61.2,4.92723608,1.091197608,42.26598534,1.57,2120.322861
98,Burkina Faso,BFA,2019BFA,5,20321.4,61.6,4.74,1.06,41.5,1.56,2178
,Burkina Faso,BFA,2020BFA,5,20903.3,62.0,,,,1.55,..
132,Burundi,BDI,2015BDI,5,10160.034,60.1,3.122222066,0.631616718,32.24339336,1.61,825.2059856
128,Burundi,BDI,2016BDI,5,10488.002,60.5,3.339909077,0.660994808,33.79186488,1.6,794.6045744
127,Burundi,BDI,2017BDI,5,10827.01,60.9,3.557596087,0.629289356,35.69475221,1.6,773.5718584
121,Burundi,BDI,2018BDI,5,11175.379,61.2,3.775283098,0.610356416,37.35026949,1.57,761.5241934
121,Burundi,BDI,2019BDI,5,11530.6,61.6,3.78,0.59,37.7,1.56,752
,Burundi,BDI,2020BDI,5,11890.8,62.0,,,,1.55,..
86,Cambodia,KHM,2015KHM,8,15521.435,68.6,4.162164688,1.281823523,41.98964735,1.61,3543.703553
73,Cambodia,KHM,2016KHM,8,15766.29,69,4.461259365,1.330308969,44.04312192,1.6,3733.955498
67,Cambodia,KHM,2017KHM,8,16009.413,69.3,4.585842133,1.325940283,45.16385035,1.6,3928.373688
46,Cambodia,KHM,2018KHM,8,16249.795,69.6,5.121837616,1.391165707,48.56430751,1.57,4159.337426
51,Cambodia,KHM,2019KHM,8,16486.5,69.8,5.00,1.36,48.0,1.56,4389
,Cambodia,KHM,2020KHM,8,16719.0,,4.38,1.32,,1.55,..
96,Cameroon,CMR,2015CMR,5,23298.376,57.6,5.037964821,1.286020207,39.17658912,1.61,3458.6939
104,Cameroon,CMR,2016CMR,5,23926.549,58.1,4.816232204,1.33204428,37.99550162,1.6,3524.444514
101,Cameroon,CMR,2017CMR,5,24566.07,58.5,5.07405138,1.264084293,40.18398452,1.6,3554.525156
95,Cameroon,CMR,2018CMR,5,25216.261,58.9,5.250737667,1.255016363,41.46230101,1.57,3603.551705
108,Cameroon,CMR,2019CMR,5,25876.4,59.3,4.94,1.24,39.9,1.56,3642
66,Cameroon,CMR,2020CMR,5,26545.9,59.6,5.24,1.20,42.2,1.55,..
85,Canada,CAN,2015CAN,2,36026.668,82,7.412772655,7.921993139,42.20680019,1.61,47629.51205
92,Canada,CAN,2016CAN,2,36382.942,82.1,7.244845867,8.147206425,40.8171384,1.6,47564.81088
90,Canada,CAN,2017CAN,2,36732.091,82.2,7.414868355,8.077236163,41.82213127,1.6,48487.76028
102,Canada,CAN,2018CAN,2,37074.558,82.3,7.175496578,8.135169134,40.50111265,1.57,48770.33586
105,Canada,CAN,2019CAN,2,37411.0,82.4,7.11,8.15,40.2,1.56,48881
68,Canada,CAN,2020CAN,2,37742.2,81.8,7.02,7.25,42.0,1.55,..
,Central African Republic,CAF,2015CAF,5,4493.171,50.9,,1.133873961,,1.61,852.7494264
140,Central African Republic,CAF,2016CAF,5,4537.683,51.6,2.693061113,1.164323601,22.34825123,1.6,884.4944169
147,Central African Republic,CAF,2017CAF,5,4596.023,52.2,3.475862026,1.174955477,26.87391329,1.6,912.8020523
,Central African Republic,CAF,2018CAF,5,4666.375,52.8,,1.188435071,,1.57,933.1095507
150,Central African Republic,CAF,2019CAF,5,4745.2,53.3,3.08,1.21,25.2,1.56,945
,Central African Republic,CAF,2020CAF,5,4829.8,53.8,,,,1.55,..
136,Chad,TCD,2015TCD,5,14110.971,53.1,4.322675228,1.725248801,29.95960257,1.61,1857.107337
137,Chad,TCD,2016TCD,5,14561.658,53.4,4.029350281,1.754370026,28.52399341,1.6,1687.052642
139,Chad,TCD,2017TCD,5,15016.761,53.7,4.558937073,1.671427102,31.76874686,1.6,1587.03106
142,Chad,TCD,2018TCD,5,15477.727,54,4.486325264,1.671245789,31.48851121,1.57,1576.31867
145,Chad,TCD,2019TCD,5,15946.9,54.2,4.25,1.67,30.4,1.56,1580
,Chad,TCD,2020TCD,5,16425.9,54.4,,,,1.55,..
27,Chile,CHL,2015CHL,1,17969.356,79.6,6.532749653,4.10930268,50.49039653,1.61,24516.83689
31,Chile,CHL,2016CHL,1,18209.072,79.8,6.579056263,4.111787612,50.82981708,1.6,24608.06503
41,Chile,CHL,2017CHL,1,18470.435,79.9,6.320119381,4.280644903,48.58351925,1.6,24548.1877
45,Chile,CHL,2018CHL,1,18729.166,80,6.436220646,4.373670792,48.71915892,1.57,25165.17818
67,Chile,CHL,2019CHL,1,18952.0,80.2,5.94,4.44,45.6,1.56,25131
44,Chile,CHL,2020CHL,1,19116.2,79.0,6.15,4.15,47.3,1.55,..
80,China,CHN,2015CHN,8,1406847.868,75.9,5.303877831,3.613343562,42.9910151,1.61,12691.82155
75,China,CHN,2016CHN,8,1414049.353,76.2,5.32495594,3.561086011,43.48180178,1.6,13487.82248
92,China,CHN,2017CHN,8,1421021.794,76.5,5.099061489,3.71444441,41.67950278,1.6,14344.42124
92,China,CHN,2018CHN,8,1427647.789,76.7,5.131433964,3.731989287,41.76439175,1.57,15242.98586
94,China,CHN,2019CHN,8,1433783.7,76.9,5.14,3.74,41.9,1.56,16092
49,China,CHN,2020CHN,8,1439323.8,77.1,5.77,3.74,45.6,1.55,..
2,Colombia,COL,2015COL,1,47520.667,76.5,6.387571812,1.96862671,59.65478682,1.61,14143.70357
3,Colombia,COL,2016COL,1,48175.048,76.7,6.233715057,2.041412426,58.1467944,1.6,14242.80689
5,Colombia,COL,2017COL,1,48909.844,76.9,6.157341957,1.91120352,58.6797165,1.6,14219.53282
8,Colombia,COL,2018COL,1,49661.056,77.1,5.983512402,1.890250973,57.52070486,1.57,14356.69407
3,Colombia,COL,2019COL,1,50339.4,77.3,6.35,1.90,60.2,1.56,14625
9,Colombia,COL,2020COL,1,50882.9,77.4,5.71,1.87,55.8,1.55,..
,Comoros,COM,2015COM,5,777.435,63.5,,0.988838745,,1.61,2959.539971
,Comoros,COM,2016COM,5,795.597,63.7,,1.230996595,,1.6,2987.989053
,Comoros,COM,2017COM,5,813.89,63.9,,1.141346589,,1.6,3032.254682
118,Comoros,COM,2018COM,5,832.322,64.1,3.972819567,1.134259997,38.058437,1.57,3066.837847
93,Comoros,COM,2019COM,5,850.9,64.3,4.61,1.12,42.4,1.56,3060
,Comoros,COM,2020COM,5,869.6,64.5,,,,1.55,..
83,Congo (Brazzaville),COG,2015COG,5,4856.093,63.1,4.690830231,1.079378685,42.54468175,1.61,5252.154163
97,Congo (Brazzaville),COG,2016COG,5,4980.996,63.6,4.119493484,1.086581587,39.05896825,1.6,4598.656999
72,Congo (Brazzaville),COG,2017COG,5,5110.701,64,4.883991241,1.066666789,44.57206784,1.6,4274.296414
44,Congo (Brazzaville),COG,2018COG,5,5244.363,64.3,5.490214348,1.058979128,48.75799677,1.57,3906.939945
56,Congo (Brazzaville),COG,2019COG,5,5380.5,64.6,5.21,1.05,47.2,1.56,3673
,Congo (Brazzaville),COG,2020COG,5,5518.1,64.8,,,,1.55,..
113,Congo (Kinshasa),COD,2015COD,5,76244.532,59.3,3.902741671,0.808555575,35.94450865,1.61,1065.24241
94,Congo (Kinshasa),COD,2016COD,5,78789.13,59.7,4.521935463,0.771842844,40.4038578,1.6,1055.572955
107,Congo (Kinshasa),COD,2017COD,5,81398.765,60,4.311033249,0.754067374,39.36733655,1.6,1059.810775
,Congo (Kinshasa),COD,2018COD,5,84068.092,60.4,,0.742806693,,1.57,1085.893701
104,Congo (Kinshasa),COD,2019COD,5,86790.6,60.7,4.42,0.73,40.5,1.56,1098
,Congo (Kinshasa),COD,2020COD,5,89561.4,61.0,,,,1.55,..
1,Costa Rica,CRI,2015CRI,1,4847.805,79.6,6.854004383,2.519102684,61.7462735,1.61,18625.00494
1,Costa Rica,CRI,2016CRI,1,4899.336,79.7,7.135617733,2.710142521,62.37983287,1.6,19211.56676
1,Costa Rica,CRI,2017CRI,1,4949.955,79.9,7.22518158,2.568161027,64.1664918,1.6,19749.16744
1,Costa Rica,CRI,2018CRI,1,4999.443,80.1,7.141074657,2.598468849,63.30310154,1.57,20073.88145
1,Costa Rica,CRI,2019CRI,1,5047.6,80.3,7.00,2.65,62.1,1.56,20297
,Costa Rica,CRI,2020CRI,1,5094.1,80.5,,,,1.55,..
120,Cote d'Ivoire,CIV,2015CIV,5,23226.148,56.1,4.445038795,1.234552189,34.81490026,1.61,4417.151166
114,Cote d'Ivoire,CIV,2016CIV,5,23822.726,56.6,4.542545795,1.256956665,35.60724689,1.6,4615.711582
118,Cote d'Ivoire,CIV,2017CIV,5,24437.475,57,5.037734985,1.421130691,37.97278871,1.6,4830.751701
112,Cote d'Ivoire,CIV,2018CIV,5,25069.226,57.4,5.26837492,1.497529256,39.08015845,1.57,5033.478224
111,Cote d'Ivoire,CIV,2019CIV,5,25716.6,57.8,5.39,1.58,39.6,1.56,5213
77,Cote d'Ivoire,CIV,2020CIV,5,26378.3,58.2,5.26,1.53,39.4,1.55,..
79,Croatia,HRV,2015HRV,7,4232.874,77.9,5.205438137,3.739903864,43.12976486,1.61,24640.85097
74,Croatia,HRV,2016HRV,7,4208.611,78,5.416875362,3.902592041,43.70496939,1.6,25681.55207
74,Croatia,HRV,2017HRV,7,4182.847,78.2,5.343165874,3.719136937,44.18255747,1.6,26885.65841
72,Croatia,HRV,2018HRV,7,4156.407,78.3,5.536271095,3.656390574,45.52398626,1.57,27888.57363
65,Croatia,HRV,2019HRV,7,4130.3,78.5,5.63,3.64,46.2,1.56,28845
23,Croatia,HRV,2020HRV,7,4105.3,77.7,6.51,3.43,52.0,1.55,..
47,Cyprus,CYP,2015CYP,3,1160.987,80.3,5.439161301,3.415136344,47.60420644,1.61,34375.56372
39,Cyprus,CYP,2016CYP,3,1170.189,80.5,5.794618607,3.594506579,49.05419209,1.6,36526.81906
37,Cyprus,CYP,2017CYP,3,1179.685,80.7,6.062051296,3.877463304,49.47223476,1.6,37766.90166
34,Cyprus,CYP,2018CYP,3,1189.262,80.8,6.276443005,3.905683383,50.52531122,1.57,38822.49197
45,Cyprus,CYP,2019CYP,3,1198.6,81.0,6.14,3.97,49.4,1.56,39545
19,Cyprus,CYP,2020CYP,3,1207.4,81.0,6.26,3.47,52.7,1.55,..
68,Czech Republic,CZE,2015CZE,7,10601.39,78.7,6.608017445,5.504941053,44.39500336,1.61,36283.91103
63,Czech Republic,CZE,2016CZE,7,10618.868,78.9,6.735627174,5.536453224,45.00467855,1.6,37133.15493
61,Czech Republic,CZE,2017CZE,7,10641.032,79.1,6.789567947,5.471300902,45.65914911,1.6,38948.86299
58,Czech Republic,CZE,2018CZE,7,10665.679,79.2,7.034165382,5.443617793,46.92872321,1.57,40053.77367
58,Czech Republic,CZE,2019CZE,7,10689.2,79.4,6.97,5.40,46.8,1.56,40828
39,Czech Republic,CZE,2020CZE,7,10709.0,78.4,6.90,4.70,48.6,1.55,..
69,Denmark,DNK,2015DNK,3,5688.695,80.5,7.514424801,7.145140815,44.20832842,1.61,53061.54437
61,Denmark,DNK,2016DNK,3,5711.346,80.6,7.55778265,6.916156244,45.17885125,1.6,54358.03363
64,Denmark,DNK,2017DNK,3,5732.277,80.7,7.593702316,6.928879641,45.36657659,1.6,55533.44735
77,Denmark,DNK,2018DNK,3,5752.131,80.8,7.648785591,7.023360955,45.19615624,1.57,56461.00792
70,Denmark,DNK,2019DNK,3,5771.9,80.9,7.69,7.05,45.3,1.56,57862
42,Denmark,DNK,2020DNK,3,5792.2,81.0,7.51,6.14,47.7,1.55,..
30,Dominican Republic,DOM,2015DOM,1,10281.675,73.2,5.061862469,1.633445779,49.72229954,1.61,15328.35206
30,Dominican Republic,DOM,2016DOM,1,10397.738,73.5,5.238698483,1.682617518,50.84355559,1.6,16166.60375
21,Dominican Republic,DOM,2017DOM,1,10513.111,73.7,5.605202675,1.752746688,53.14711944,1.6,16735.33259
26,Dominican Republic,DOM,2018DOM,1,10627.147,73.9,5.433215618,1.827284324,51.42705685,1.57,17711.76553
19,Dominican Republic,DOM,2019DOM,1,10739.0,74.1,6.00,1.93,54.8,1.56,18413
37,Dominican Republic,DOM,2020DOM,1,10847.9,73.6,5.17,1.82,49.3,1.55,..
6,Ecuador,ECU,2015ECU,1,16212.022,76.1,5.964075089,1.904908167,56.73102,1.61,11896.37663
2,Ecuador,ECU,2016ECU,1,16491.116,76.4,6.115437508,1.691060743,59.5325466,1.6,11551.61667
9,Ecuador,ECU,2017ECU,1,16785.356,76.6,5.839518547,1.713983053,57.50511403,1.6,11617.90876
2,Ecuador,ECU,2018ECU,1,17084.359,76.8,6.128010273,1.630290323,60.20185891,1.57,11561.74921
5,Ecuador,ECU,2019ECU,1,17373.7,77.0,5.81,1.51,58.8,1.56,11375
10,Ecuador,ECU,2020ECU,1,17643.1,74.8,5.35,1.30,55.0,1.55,..
63,Egypt,EGY,2015EGY,4,92442.549,71.3,4.762538433,1.875143286,44.82085516,1.61,10570.44546
71,Egypt,EGY,2016EGY,4,94447.071,71.5,4.556740761,1.753555862,44.17219302,1.6,10795.80863
103,Egypt,EGY,2017EGY,4,96442.59,71.7,3.929344177,1.780060494,39.880006,1.6,11014.48614
99,Egypt,EGY,2018EGY,4,98423.602,71.8,4.005450726,1.731398804,40.55629471,1.57,11366.33633
86,Egypt,EGY,2019EGY,4,100388.1,72.0,4.33,1.67,43.2,1.56,11763
57,Egypt,EGY,2020EGY,4,102334.4,72.0,4.47,1.58,44.6,1.55,..
13,El Salvador,SLV,2015SLV,1,6325.121,72.4,6.018496037,1.954985131,53.68541181,1.61,8143.016917
13,El Salvador,SLV,2016SLV,1,6356.137,72.6,6.139824867,2.003133136,54.29450265,1.6,8309.630336
12,El Salvador,SLV,2017SLV,1,6388.124,72.9,6.339318275,1.985553581,56.01473623,1.6,8454.058198
14,El Salvador,SLV,2018SLV,1,6420.74,73.1,6.241199493,2.016699957,55.10601219,1.57,8615.576151
13,El Salvador,SLV,2019SLV,1,6453.6,73.3,6.45,2.06,56.3,1.56,8776
29,El Salvador,SLV,2020SLV,1,6486.2,73.0,5.46,1.87,50.5,1.55,..
122,Estonia,EST,2015EST,7,1315.33,77.8,5.628908634,7.027994729,34.42629032,1.61,31246.23394
122,Estonia,EST,2016EST,7,1316.507,78.1,5.649675369,7.026632994,34.629869,1.6,32232.92164
126,Estonia,EST,2017EST,7,1319.389,78.4,5.938395977,7.16080994,35.73640942,1.6,33964.31415
127,Estonia,EST,2018EST,7,1322.913,78.6,6.091302395,7.562801465,35.34342274,1.57,35320.47464
133,Estonia,EST,2019EST,7,1325.6,78.8,6.03,7.85,34.4,1.56,36948
78,Estonia,EST,2020EST,7,1326.5,78.4,6.45,6.80,38.9,1.55,..
,Eswatini,SWZ,2015SWZ,5,1104.038,55.4,,1.980561544,,1.61,8304.613326
,Eswatini,SWZ,2016SWZ,5,1113.994,57,,1.813382667,,1.6,8321.10661
,Eswatini,SWZ,2017SWZ,5,1124.808,58.3,,1.88396707,,1.6,8408.454272
137,Eswatini,SWZ,2018SWZ,5,1136.274,59.4,4.211565018,1.786539621,33.29174927,1.57,8521.214825
130,Eswatini,SWZ,2019SWZ,5,1148.1,60.2,4.40,1.67,35.3,1.56,8622
